"Blooket
Import Template",,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)"
1,발명품의 이름을 적는 명세서 항목은?,발명의 효과,발명의 명칭,청구범위,요약,20,2
2,심사관에게 내 발명을 설명하는 유일한 서류는?,일기장,상장,명세서,편지,20,3
3,좋은 명세서의 기준은? 다른 사람이 이 글만 읽고도 ___ 있어야 한다,웃을 수,그대로 만들 수,외울 수,노래할 수,20,2
4,특허를 신청하고 특허가 나오면 주인이 되는 사람은?,발명자,심사관,출원인,변리사,20,3
5,실제로 발명을 한 사람을 부르는 말은?,출원인,발명자,대리인,심사관,20,2
6,발명과 법을 모두 알아서 출원을 도와주는 직업은?,변호사,회계사,변리사,조련사,20,3
7,우리나라에서 특허 심사를 담당하는 기관은?,교육청,특허청,기상청,경찰청,20,2
8,19세 미만 발명가가 진짜 출원할 때 절차를 대신해 주는 사람은?,담임 선생님,법정대리인(부모님),교장 선생님,옆반 친구,20,2
9,물건의 모양을 보호하는 지식재산권은?,특허,실용신안,디자인,상표,20,3
10,이름과 로고를 보호하는 지식재산권은?,특허,실용신안,디자인,상표,20,4
11,새로운 기술과 아이디어를 보호하는 지식재산권은?,특허,실용신안,디자인,상표,20,1
12,특허청이 발명가 한 사람 한 사람에게 주는 고유 번호는?,주민등록번호,특허고객번호,학번,전화번호,20,2
13,"학생 발명가가 출원할 때 수수료 56,000원은 어떻게 될까?",두 배로 낸다,절반만 낸다,전부 면제된다,용돈에서 깎인다,20,3
14,발명으로 해결하고 싶은 불편함을 적는 명세서 항목은?,해결하려는 과제,발명의 효과,도면의 설명,요약,20,1
15,내 발명품의 좋은 점을 적는 명세서 항목은?,배경기술,발명의 효과,청구범위,발명의 명칭,20,2
16,내 특허 권리의 범위를 정하는 가장 중요한 명세서 항목은?,요약,배경기술,청구범위,도면,20,3
17,발명품 그림(도면)의 부품마다 붙여야 하는 것은?,스티커,번호(부호),색칠,사인,20,2
18,합치고 바꾸고 빼면서 아이디어를 만드는 발상법은?,SCAMPER,ABCDEFG,OX퀴즈,가위바위보,20,1
19,관청에 원서를 낸다는 뜻으로 특허를 신청하는 것을 뭐라고 할까?,출근,출발,출원,출석,20,3
20,우리가 만든 명세서를 저장한 한글 문서 파일 형식은?,HWPX,MP3,GIF,ZIP,20,1
21,같은 발명을 두 사람이 했다면 특허는 누구의 것일까?,나이 많은 사람,먼저 출원한 사람,목소리 큰 사람,가위바위보 이긴 사람,20,2
22,특허권은 출원일로부터 보통 몇 년 동안 보호될까?,5년,10년,20년,100년,20,3
23,전구를 개량하고 특허를 1000개 넘게 가진 발명왕은?,뉴턴,에디슨,아인슈타인,갈릴레이,20,2
24,조선 세종 때 측우기 등을 만든 과학자는?,장영실,이순신,김정호,정약용,20,1
25,포스트잇은 원래 무엇을 만들다가 실패해서 탄생했을까?,색종이,지우개,초강력 접착제,형광펜,20,3
26,전자레인지 발명의 힌트가 된 사건은?,밥이 타버렸다,얼음이 얼었다,빵이 부풀었다,주머니 속 초콜릿이 녹았다,20,4
27,찍찍이(벨크로)의 아이디어가 된 것은?,문어 빨판,옷에 붙은 식물 가시,거미줄,달팽이 점액,20,2
28,다이너마이트를 발명하고 그 재산으로 상을 만든 사람은?,벨,라이트,포드,노벨,20,4
29,세계 최초로 동력 비행기를 만든 형제는?,마리오 형제,라이트 형제,그림 형제,의좋은 형제,20,2
30,감자칩은 손님의 어떤 불평 때문에 탄생했을까?,너무 짜다,너무 비싸다,감자가 너무 두껍다,양이 너무 많다,20,3
31,세계에서 가장 오래된 금속활자 인쇄본 직지를 만든 나라는?,중국,일본,고려(한국),독일,20,3
32,전화기 특허를 가장 먼저 등록한 사람은?,에디슨,벨,테슬라,모스,20,2
33,(유머) 특허청에서 서류를 꼼꼼히 살펴보는 강아지의 이름은?,진돗개,심사견,풍산개,삽살개,20,2
34,에디슨이 남긴 말은? 나는 실패한 게 아니라 ___를 찾았을 뿐이다,안 되는 방법 1만 가지,맛있는 빵집,잃어버린 양말,집에 가는 지름길,20,1
35,(유머) 발명가가 세상에서 제일 무서워하는 말은?,밥 먹자,그거 이미 있는데?,참 잘 만들었네,청소하자,20,2
36,뉴턴이 사과나무 아래에서 발견한 것은?,꿀잠,만유인력,사과잼,와이파이,20,2
37,(유머) 소파에서 일어나기 귀찮아서 크게 발전한 발명품은?,리모컨,세탁기,신호등,계산기,20,1
38,(유머) 좋은 아이디어가 떠오를 때 머리 위에 켜지는 것은?,형광등,전구,촛불,모닥불,20,2
39,아르키메데스가 목욕탕에서 외친 말은?,앗 뜨거!,유레카!,아이고!,목욕 끝!,20,2
40,(유머) 명세서를 대충 쓰면 AI 변리사가 하는 말은?,100점 만점!,이 글만 읽고는 못 만들어요,참 잘했어요 도장 쾅!,바로 통과!,20,2
